step 0 | loss: 1.2247 | lr: 6.0000e-07 | norm: 2.7040 | dt: 6733.15 ms | tok/sec: 912.50
step 100 | loss: 0.9227 | lr: 6.0600e-05 | norm: 1.2793 | dt: 5.10 ms | tok/sec: 1203802.67
step 200 | loss: 0.8188 | lr: 1.2060e-04 | norm: 0.9641 | dt: 6.09 ms | tok/sec: 1009511.65
step 300 | loss: 0.7787 | lr: 1.8060e-04 | norm: 0.5078 | dt: 5.17 ms | tok/sec: 1188863.43
step 400 | loss: 0.7804 | lr: 2.4060e-04 | norm: 0.4029 | dt: 5.43 ms | tok/sec: 1131495.23
step 500 | loss: 0.7674 | lr: 3.0060e-04 | norm: 0.3608 | dt: 5.66 ms | tok/sec: 1084998.69
step 600 | loss: 0.7657 | lr: 3.6060e-04 | norm: 0.4419 | dt: 5.13 ms | tok/sec: 1196869.81
step 700 | loss: 0.7684 | lr: 4.2060e-04 | norm: 0.3780 | dt: 5.08 ms | tok/sec: 1209452.47
step 800 | loss: 0.7740 | lr: 4.8060e-04 | norm: 0.2208 | dt: 5.11 ms | tok/sec: 1202847.45
step 900 | loss: 0.7650 | lr: 5.4060e-04 | norm: 0.3000 | dt: 5.11 ms | tok/sec: 1201613.53
step 1000 | loss: 0.7624 | lr: 6.0000e-04 | norm: 0.3731 | dt: 5.22 ms | tok/sec: 1176434.78
step 1100 | loss: 0.7640 | lr: 5.4843e-04 | norm: 0.2661 | dt: 5.18 ms | tok/sec: 1185527.16
step 1200 | loss: 0.7697 | lr: 4.1343e-04 | norm: 0.2013 | dt: 5.91 ms | tok/sec: 1040321.50
step 1300 | loss: 0.7593 | lr: 2.4657e-04 | norm: 0.1732 | dt: 5.11 ms | tok/sec: 1202510.68
step 1400 | loss: 0.7563 | lr: 1.1157e-04 | norm: 0.1835 | dt: 5.18 ms | tok/sec: 1185145.50
Metadata saved to model_metadata.txt
